time left right
8000 -349 -392
8016 -349 -392
8033 -348 -392
8050 -348 -393
8066 -348 -393
8083 -347 -394
8100 -347 -394
8116 -346 -394
8133 -346 -395
8149 -346 -397
8166 -347 -399
8183 -347 -399
8200 -346 -398
8216 -347 -398
8233 -347 -400
8250 -347 -399
8266 -347 -398
8283 -347 -397
8300 -348 -397
8316 -348 -396
8333 -349 -396
8350 -348 -394
8366 -344 -393
8383 -336 -392
8400 -321 -391
8416 -295 -383
8433 -264 -366
8450 -233 -343
8466 -199 -316
8483 -167 -285
8500 -137 -247
8516 -110 -210
8533 -88 -177
8550 -68 -150
8566 -50 -126
8583 -35 -104
8600 -22 -82
8616 -10 -64
8633 -1 -49
8650 6 -36
8666 11 -24
8683 15 -14
8700 17 -6
8716 18 -1
8733 18 2
8750 18 4
8766 16 5
8783 14 6
8800 12 6
8816 10 5
8833 8 5
8850 6 4
8866 5 3
8883 4 2
8900 3 1
8916 2 1
8933 2 0
8950 1 0
8966 1 0
8983 2 0
9000 2 0
