time left right
0.00 0 0
0.02 0 0
0.03 0 0
0.05 0 0
0.07 0 0
0.08 0 0
0.10 0 0
0.12 0 0
0.13 0 0
0.15 0 0
0.17 0 0
0.18 0 0
0.20 0 0
0.22 0 0
0.23 0 0
0.25 0 0
0.27 0 0
0.28 0 0
0.30 0 0
0.32 0 0
0.33 0 0
0.35 0 0
0.37 0 0
0.38 0 0
0.40 0 0
0.42 0 0
0.43 0 0
0.45 0 0
0.47 0 0
0.48 0 0
0.50 0 0
0.52 0 0
0.53 0 0
0.55 0 0
0.57 0 0
0.58 0 0
0.60 0 0
0.62 0 0
0.63 0 0
0.65 0 0
0.67 0 0
0.68 0 0
0.70 0 0
0.72 0 0
0.73 0 0
0.75 0 0
0.77 0 0
0.78 0 0
0.80 0 0
0.82 0 0
0.83 0 0
0.85 0 0
0.87 0 0
0.88 0 0
0.90 0 0
0.92 0 0
0.93 0 0
0.95 0 0
0.97 0 0
0.98 0 0
1.00 0 0
1.02 0 0
1.03 0 0
1.05 0 0
1.07 0 0
1.08 0 0
1.10 0 0
1.12 0 0
1.13 0 0
1.15 0 0
1.17 0 0
1.18 0 0
1.20 0 0
1.22 0 0
1.23 0 0
1.25 0 0
1.27 0 0
1.28 0 0
1.30 0 0
1.32 0 0
1.33 0 0
1.35 0 0
1.37 0 0
1.38 0 0
1.40 0 0
1.42 0 0
1.43 0 0
1.45 0 0
1.47 0 0
1.48 0 0
1.50 0 0
1.52 0 0
1.53 0 0
1.55 0 0
1.57 0 0
1.58 0 0
1.60 0 0
1.62 0 0
1.63 0 0
1.65 0 0
1.67 0 0
1.68 0 0
1.70 0 0
1.72 0 0
1.73 0 0
1.75 0 0
1.77 0 0
1.78 0 0
1.80 0 0
1.82 0 0
1.83 0 0
1.85 0 0
1.87 0 0
1.88 0 0
1.90 0 0
1.92 0 0
1.93 0 0
1.95 0 0
1.97 0 0
1.98 0 0
2.00 0 0
2.02 0 0
2.03 0 0
2.05 0 0
2.07 0 0
2.08 0 0
2.10 0 0
2.12 0 0
2.13 0 0
2.15 0 0
2.17 0 0
2.18 0 0
2.20 0 0
2.22 0 0
2.23 0 0
2.25 0 0
2.27 0 0
2.28 0 0
2.30 0 0
2.32 0 0
2.33 0 0
2.35 0 0
2.37 0 0
2.38 0 0
2.40 0 0
2.42 0 0
2.43 0 0
2.45 0 0
2.47 0 0
2.48 0 0
2.50 0 0
