time left right acc

2000 1 14 0
2016 1 13 0
2033 1 12 1
2050 0 10 2
2066 0 7 2
2083 0 5 2
2100 0 2 3
2116 -1 0 2
2133 -1 -3 2
2150 -2 -5 2
2166 -2 -7 1
2183 -1 -9 1
2200 0 -9 0
2216 0 -8 1
2233 4 -3 7
2250 10 4 13
2266 19 17 21
2283 33 36 31
2300 61 60 50
2316 95 89 63
2333 132 123 70
2350 172 158 75
2366 212 195 75
2383 251 231 74
2400 288 267 71
2416 314 295 54
2433 333 317 40
2450 347 334 29
2466 355 344 17
2483 360 351 10
2500 363 355 6
2516 363 356 0
2533 363 356 0
2550 364 356 0
2566 364 357 0
2583 365 357 1
2600 365 358 0
2616 365 358 0
2633 366 358 0
2650 366 359 0
2666 367 359 0
2683 367 358 0
2700 366 360 1
2716 367 360 0
2733 367 359 0
2750 366 359 0
2766 366 358 0
2783 367 358 0
2800 367 358 0
2816 367 357 1
2833 366 356 0
2850 368 356 1
2866 366 356 1
2883 366 356 0
2900 366 355 0
2916 366 355 0
2933 366 355 0
2950 366 355 0
2966 366 355 0
2983 366 354 0
3000 366 354 0
