time left right

2000 -1 18
2016 -1 17
2033 -2 16
2050 -2 14
2066 -3 11
2083 -3 8
2100 -4 5
2116 -4 2
2133 -5 0
2150 -5 -2
2166 -5 -4
2183 -5 -5
2200 -4 -5
2216 -2 -4
2233 0 0
2250 6 8
2266 16 21
2283 30 40
2300 57 63
2316 91 93
2333 129 126
2350 169 162
2366 209 199
2383 248 235
2400 284 271
2416 311 299
2433 330 321
2450 343 337
2466 351 348
2483 356 355
2500 359 359
2516 360 359
2533 360 360
2550 360 360
2566 361 361
2583 362 361
2600 362 361
2616 362 361
2633 363 362
2650 363 362
2666 363 362
2683 363 362
2700 363 364
2716 363 363
2733 363 363
2750 363 363
2766 363 362
2783 363 362
2800 363 362
2816 363 361
2833 363 360
2850 364 360
2866 363 360
2883 363 359
2900 363 359
2916 362 359
2933 363 359
2950 363 359
2966 362 358
2983 363 358
3000 363 357
