time left right
0 -1 -9
16 0 -9
33 0 -8
50 4 -3
66 10 4
83 19 17
100 33 36
116 61 60
133 95 89
150 132 123
166 172 158
183 212 195
200 251 231
216 288 267
233 314 295
250 333 317
266 347 334
283 355 344
300 360 351
316 363 355
333 363 356
350 363 356
366 364 356
383 364 357
400 365 357
416 365 358
433 365 358
450 366 358
466 366 359
483 367 359
500 367 358
516 366 360
533 367 360
550 367 359
566 366 359
583 366 358
600 367 358
616 367 358
633 367 357
650 366 356
666 368 356
683 366 356
700 366 356
716 366 355
733 366 355
750 366 355
766 366 355
783 366 355
800 366 354
816 366 354
833 366 353
850 365 353
866 365 352
883 364 351
900 364 351
916 364 351
933 363 350
950 363 350
966 363 349
983 362 349
1000 362 349
1016 362 348
1033 362 348
1050 361 347
1066 361 346
1083 361 346
1100 361 346
1116 361 346
1133 361 347
1150 361 347
1166 361 347
1183 360 347
1200 360 347
1216 360 348
1233 359 348
1250 359 349
1266 359 349
1283 358 350
1300 358 350
1316 358 350
1333 358 351
1350 358 351
1366 358 351
1383 358 352
1400 358 352
1416 358 352
1433 358 353
1450 358 353
1466 358 353
1483 359 354
1500 359 354
1516 359 354
1533 359 354
1550 359 349
1566 359 349
1583 359 350
1600 359 350
1616 359 351
1633 359 351
1650 360 351
1666 360 353
1683 360 353
1700 360 352
1716 356 352
1733 356 352
1750 357 351
1766 356 351
1783 357 350
1800 357 351
1816 356 351
1833 358 351
1850 358 351
1866 358 350
1883 358 349
1900 357 350
1916 357 349
1933 357 348
1950 357 348
1966 357 347
1983 355 346
2000 355 346
2016 355 345
2033 354 345
2050 354 345
2066 354 344
2083 354 344
2100 354 348
2116 354 348
2133 354 347
2150 353 347
2166 353 346
2183 353 346
2200 353 346
2216 353 344
2233 353 344
2250 353 345
2266 353 345
2283 353 345
2300 354 345
2316 353 346
2333 353 346
2350 352 346
2366 352 346
2383 352 347
2400 351 347
2416 351 348
2433 351 348
2450 351 348
2466 352 349
2483 352 349
2500 351 349
2516 352 349
2533 352 349
2550 352 350
2566 352 350
2583 352 351
2600 352 351
2616 353 350
2633 353 350
2650 353 350
2666 353 350
2683 353 349
2700 353 349
2716 353 348
2733 353 348
2750 350 348
2766 349 348
2783 350 347
2800 350 347
2816 351 345
2833 351 346
2850 350 346
2866 352 346
2883 352 346
2900 352 346
2916 352 345
2933 351 345
2950 351 344
2966 351 343
2983 350 343
3000 349 342
3016 349 341
3033 348 341
3050 348 341
3066 347 340
3083 346 340
3100 346 339
3116 345 339
3133 345 339
3150 345 339
3166 345 339
3183 344 339
3200 344 339
3216 344 339
3233 344 339
3250 343 339
3266 343 339
3283 345 340
3300 344 340
3316 344 340
3333 343 341
3350 342 341
3366 342 341
3383 342 342
3400 342 342
3416 342 343
3433 342 343
3450 342 343
3466 342 343
3483 342 343
3500 342 343
3516 344 343
3533 343 343
3550 343 343
3566 343 343
3583 341 343
3600 338 340
3616 332 338
3633 322 335
3650 308 327
3666 288 315
3683 261 299
3700 229 276
3716 196 249
3733 164 215
3750 133 178
3766 108 146
3783 86 116
3800 65 90
3816 49 69
3833 37 52
3850 28 39
3866 21 29
3883 14 20
3900 9 14
3916 5 9
3933 2 4
3950 0 0
3966 0 -2
3983 -1 -4
4000 -2 -5
4016 -1 -6
4033 -1 -7
4050 0 -8
4066 0 -7
4083 0 -7
4100 0 -7
4116 1 -7
4133 1 -6
4150 1 -6
4166 2 -5
4183 2 -5
4200 2 -5
4216 2 -4
4233 2 -4
4250 2 -4
4266 2 -3
4283 1 -3
4300 1 -3
4316 0 -3
4333 0 -3
4350 0 -4
4366 0 -4
4383 0 -4
4400 0 -4
4416 0 -4
4433 0 -3
4450 0 -3
4466 1 -3
4483 2 -3
4500 2 -4
4516 1 -6
4533 -1 -10
4550 -7 -18
4566 -18 -33
4583 -34 -52
4600 -54 -74
4616 -78 -99
4633 -111 -126
4650 -145 -154
4666 -173 -190
4683 -195 -219
4700 -227 -256
4716 -258 -291
4733 -284 -321
4750 -307 -349
4766 -323 -372
4783 -340 -387
4800 -355 -399
4816 -361 -404
4833 -365 -409
4850 -368 -410
4866 -371 -411
4883 -371 -411
4900 -370 -411
4916 -369 -411
4933 -368 -411
4950 -368 -410
4966 -368 -409
4983 -367 -409
5000 -367 -407
5016 -367 -406
5033 -367 -406
5050 -367 -406
5066 -367 -405
5083 -367 -405
5100 -368 -405
5116 -368 -405
5133 -367 -405
5150 -367 -404
5166 -368 -404
5183 -368 -404
5200 -367 -404
5216 -367 -404
5233 -367 -404
5250 -367 -404
5266 -367 -404
5283 -366 -404
5300 -366 -404
5316 -365 -405
5333 -365 -406
5350 -364 -406
5366 -364 -406
5383 -364 -406
5400 -365 -407
5416 -366 -408
5433 -366 -408
5450 -366 -409
5466 -367 -409
5483 -367 -410
5500 -368 -411
5516 -368 -410
5533 -368 -410
5550 -368 -410
5566 -368 -410
5583 -368 -411
5600 -368 -410
5616 -363 -410
5633 -363 -410
5650 -363 -410
5666 -362 -410
5683 -363 -410
5700 -363 -410
5716 -363 -410
5733 -365 -412
5750 -365 -411
5766 -365 -411
5783 -365 -410
5800 -365 -409
5816 -365 -409
5833 -365 -408
5850 -365 -406
5866 -365 -406
5883 -365 -405
5900 -364 -404
5916 -363 -404
5933 -363 -402
5950 -362 -402
5966 -361 -402
5983 -361 -402
6000 -360 -401
6016 -360 -401
6033 -360 -401
6050 -360 -401
6066 -360 -401
6083 -359 -401
6100 -359 -400
6116 -359 -400
6133 -359 -400
6150 -359 -400
6166 -360 -400
6183 -360 -400
6200 -360 -400
6216 -360 -400
6233 -361 -401
6250 -361 -401
6266 -361 -402
6283 -361 -402
6300 -361 -402
6316 -361 -403
6333 -361 -404
6350 -362 -405
6366 -362 -405
6383 -362 -405
6400 -363 -407
6416 -363 -407
6433 -363 -407
6450 -363 -407
6466 -363 -406
6483 -363 -406
6500 -363 -407
6516 -362 -406
6533 -362 -406
6550 -362 -406
6566 -362 -406
6583 -362 -406
6600 -362 -407
6616 -362 -407
6633 -361 -407
6650 -361 -404
6666 -360 -404
6683 -360 -403
6700 -360 -403
6716 -360 -403
6733 -360 -402
6750 -360 -402
6766 -359 -402
6783 -359 -402
6800 -359 -402
6816 -358 -401
6833 -358 -400
6850 -358 -400
6866 -359 -398
6883 -358 -398
6900 -358 -398
6916 -357 -398
6933 -356 -398
6950 -356 -397
6966 -356 -397
6983 -355 -397
7000 -354 -397
7016 -354 -396
7033 -354 -396
7050 -354 -396
7066 -354 -396
7083 -353 -396
7100 -355 -396
7116 -355 -396
7133 -355 -397
7150 -355 -397
7166 -354 -396
7183 -354 -396
7200 -355 -397
7216 -354 -398
7233 -354 -399
7250 -354 -400
7266 -354 -401
7283 -354 -402
7300 -354 -402
7316 -354 -402
7333 -355 -403
7350 -355 -403
7366 -355 -403
7383 -355 -402
7400 -356 -402
7416 -356 -403
7433 -356 -403
7450 -356 -403
7466 -356 -403
7483 -357 -403
7500 -357 -403
7516 -356 -403
7533 -357 -403
7550 -356 -402
7566 -356 -402
7583 -356 -400
7600 -356 -400
7616 -356 -401
7633 -353 -400
7650 -353 -400
7666 -353 -400
7683 -352 -399
7700 -353 -399
7716 -352 -398
7733 -352 -398
7750 -353 -397
7766 -353 -396
7783 -353 -396
7800 -353 -395
7816 -352 -395
7833 -352 -395
7850 -352 -395
7866 -352 -394
7883 -352 -394
7900 -353 -394
7916 -352 -394
7933 -352 -392
7950 -351 -392
7966 -350 -392
7983 -350 -392
8000 -349 -392
8016 -349 -392
8033 -348 -392
8050 -348 -393
8066 -348 -393
8083 -347 -394
8100 -347 -394
8116 -346 -394
8133 -346 -395
8149 -346 -397
8166 -347 -399
8183 -347 -399
8200 -346 -398
8216 -347 -398
8233 -347 -400
8250 -347 -399
8266 -347 -398
8283 -347 -397
8300 -348 -397
8316 -348 -396
8333 -349 -396
8350 -348 -394
8366 -344 -393
8383 -336 -392
8400 -321 -391
8416 -295 -383
8433 -264 -366
8450 -233 -343
8466 -199 -316
8483 -167 -285
8500 -137 -247
8516 -110 -210
8533 -88 -177
8550 -68 -150
8566 -50 -126
8583 -35 -104
8600 -22 -82
8616 -10 -64
8633 -1 -49
8650 6 -36
8666 11 -24
8683 15 -14
8700 17 -6
8716 18 -1
8733 18 2
8750 18 4
8766 16 5
8783 14 6
8800 12 6
8816 10 5
8833 8 5
8850 6 4
8866 5 3
8883 4 2
8900 3 1
8916 2 1
8933 2 0
8950 1 0
8966 1 0
8983 2 0
9000 2 0
9016 2 0
9033 2 0
9050 3 0
9066 3 -1
9083 3 -1
9100 3 -1
9116 4 -1
9133 4 -2
9150 4 -2
9166 5 -2
9183 5 -3
9200 5 -3
9216 6 -3
9233 6 -3
9250 6 -3
9266 6 -3
9283 7 -3
9300 7 -3
9316 6 -3
9333 6 -3
9350 6 -3
9366 5 -3
9383 5 -2
9400 4 -2
9416 3 -2
9433 2 -1
9450 1 -1
9466 0 -1
9483 0 -1
9500 0 -1
9516 0 -1
9533 1 -1
9550 2 -3
9566 5 -7
9583 9 -13
9600 16 -23
9616 26 -36
9633 38 -53
9650 56 -74
9666 78 -98
9683 123 -137
9700 170 -174
9716 209 -204
9733 242 -248
9750 277 -288
9766 305 -322
9783 328 -352
9800 337 -367
9816 340 -380
9833 344 -391
9850 348 -394
9866 347 -395
9883 347 -395
9900 346 -394
9916 346 -394
9933 346 -393
9950 346 -392
9966 346 -392
9983 345 -392
10000 345 -391
10016 345 -391
10033 345 -391
10050 345 -391
10066 344 -391
10083 344 -391
10100 344 -391
10116 345 -391
10133 345 -391
10150 345 -391
10166 345 -392
10183 344 -390
10200 344 -390
10216 344 -391
10233 343 -392
10250 343 -393
10266 343 -394
10283 343 -395
10300 343 -398
10316 343 -398
10333 344 -398
10350 344 -400
10366 344 -399
10383 344 -399
10400 344 -399
10416 344 -398
10433 344 -398
10450 345 -398
10466 345 -398
10483 345 -398
10500 345 -398
10516 345 -398
10533 345 -398
10550 346 -398
