time left right
0.00 6 2
0.02 1 1
0.03 2 5
0.05 1 2
0.07 2 2
0.08 2 3
0.10 1 2
0.12 3 3
0.13 3 1
0.15 2 2
0.17 1 1
0.18 4 1
0.20 3 6
0.22 2 2
0.23 1 3
0.25 1 2
0.27 1 1
0.28 6 3
0.30 6 7
0.32 5 2
0.33 2 2
0.35 2 1
0.37 3 5
0.38 5 4
0.40 2 7
0.42 0 1
0.43 1 2
0.45 0 0
0.47 1 1
0.48 0 1
0.50 2 2
0.52 3 1
0.53 0 7
0.55 7 3
0.57 3 0
0.58 2 0
0.60 1 2
0.62 4 4
0.63 1 1
0.65 3 1
0.67 7 1
0.68 1 3
0.70 1 2
0.72 1 1
0.73 1 1
0.75 4 2
0.77 5 1
0.78 2 1
0.80 1 1
0.82 2 3
0.83 4 2
0.85 1 1
0.87 1 4
0.88 0 1
0.90 1 1
0.92 0 4
0.93 2 2
0.95 1 2
0.97 2 1
0.98 0 9
1.00 6 1
1.02 8 0
1.03 2 1
1.05 0 1
1.07 1 2
1.08 6 5
1.10 2 2
1.12 1 1
1.13 1 2
1.15 1 1
1.17 2 1
1.18 3 5
1.20 5 2
1.22 2 2
1.23 2 2
1.25 1 0
1.27 1 2
1.28 1 7
1.30 1 1
1.32 2 4
1.33 10 0
1.35 4 3
1.37 1 1
1.38 2 2
1.40 2 1
1.42 5 4
1.43 2 3
1.45 3 1
1.47 2 2
1.48 3 6
1.50 1 2
1.52 0 0
1.53 1 2
1.55 1 7
1.57 0 2
1.58 0 6
1.60 2 5
1.62 2 0
1.63 2 8
1.65 1 1
1.67 1 3
1.68 2 2
1.70 0 2
1.72 0 0
1.73 5 2
1.75 3 5
1.77 5 3
1.78 3 0
1.80 2 1
1.82 0 2
1.83 12 1
1.85 2 1
1.87 1 2
1.88 0 2
1.90 1 2
1.92 4 2
1.93 2 4
1.95 1 4
1.97 1 2
1.98 3 3
2.00 3 0
2.02 8 5
2.03 5 1
2.05 2 1
2.07 3 5
2.08 9 6
2.10 1 2
2.12 3 1
2.13 4 1
2.15 0 3
2.17 0 9
2.18 2 6
2.20 1 1
2.22 0 1
2.23 0 2
2.25 1 0
2.27 9 2
2.28 2 4
2.30 3 2
2.32 1 2
2.33 1 1
2.35 1 1
2.37 1 5
2.38 1 2
2.40 3 3
2.42 0 1
2.43 2 2
2.45 1 3
2.47 2 0
2.48 1 6
2.50 2 2
2.52 1 2
2.53 1 2
2.55 1 3
2.57 2 1
2.58 1 2
2.60 1 1
2.62 2 2
2.63 1 1
2.65 2 3
2.67 2 1
2.68 1 1
2.70 2 2
2.72 1 0
2.73 3 2
2.75 3 1
2.77 2 4
2.78 5 4
2.80 4 9
2.82 4 0
2.83 2 5
2.85 0 3
2.87 6 5
2.88 0 2
2.90 2 1
2.92 4 1
2.93 2 2
2.95 1 2
2.97 5 1
2.98 2 1
3.00 3 1
3.02 9 2
3.03 1 1
3.05 1 1
3.07 2 3
3.08 7 1
3.10 2 1
3.12 1 1
3.13 2 2
3.15 2 0
3.17 2 2
3.18 1 5
3.20 4 2
3.22 1 1
3.23 1 4
3.25 2 4
3.27 1 2
3.28 3 3
3.30 0 3
3.32 6 2
3.33 2 1
3.35 7 3
3.37 4 2
3.38 1 3
3.40 1 2
3.42 1 1
3.43 3 6
3.45 1 4
3.47 3 4
3.48 2 0
3.50 1 1
3.52 1 1
3.53 1 2
3.55 1 1
3.57 6 5
3.58 2 2
3.60 0 3
3.62 2 1
3.63 0 4
3.65 2 1
3.67 2 3
3.68 3 2
3.70 4 1
3.72 7 1
3.73 1 6
3.75 1 2
3.77 0 7
3.78 2 1
3.80 3 0
3.82 2 2
3.83 0 3
3.85 3 8
3.87 3 1
3.88 3 2
3.90 1 8
3.92 2 6
3.93 2 2
3.95 2 2
3.97 2 6
3.98 2 3
4.00 1 4
4.02 2 1
4.03 1 0
4.05 2 1
4.07 5 1
4.08 1 2
4.10 0 3
4.12 17 17
4.13 3 1
4.15 2 11
4.17 4 4
4.18 1 2
4.20 2 1
4.22 1 8
4.23 2 2
4.25 1 2
4.27 3 6
4.28 2 3
4.30 3 1
4.32 7 1
4.33 10 3
4.35 3 5
4.37 1 2
4.38 1 0
4.40 4 0
4.42 2 1
4.43 2 1
4.45 0 3
4.47 1 2
4.48 1 2
4.50 2 2
4.52 0 4
4.53 1 3
4.55 2 1
4.57 2 4
4.58 2 3
4.60 1 5
4.62 1 1
4.63 1 5
4.65 5 4
4.67 5 3
4.68 1 5
4.70 1 3
4.72 2 2
4.73 2 0
4.75 2 2
4.77 1 1
4.78 4 4
4.80 5 2
4.82 1 1
4.83 2 0
4.85 2 2
4.87 2 2
4.88 4 4
4.90 3 1
4.92 3 0
4.93 1 8
4.95 0 2
4.97 1 5
4.98 0 8
5.00 5 3
5.02 3 1
5.03 0 2
5.05 1 2
5.07 2 4
5.08 6 1
5.10 3 2
5.12 1 1
5.13 0 3
5.15 2 3
5.17 0 3
5.18 1 1
5.20 3 11
5.22 3 8
5.23 6 13
5.25 5 3
5.27 1 2
5.28 1 2
5.30 1 2
5.32 4 6
5.33 2 2
5.35 1 1
5.37 2 2
5.38 2 0
5.40 3 3
5.42 2 5
5.43 3 1
5.45 2 4
5.47 3 3
5.48 1 2
5.50 1 2
5.52 10 1
5.53 3 1
5.55 1 2
5.57 1 2
5.58 1 2
5.60 6 1
5.62 5 5
5.63 2 0
5.65 3 2
5.67 4 0
5.68 6 1
5.70 2 1
5.72 5 1
5.73 5 2
5.75 1 2
5.77 2 2
5.78 1 2
5.80 1 5
5.82 10 2
5.83 2 1
5.85 1 1
5.87 2 1
5.88 1 2
5.90 6 1
5.92 0 4
5.93 2 4
5.95 4 0
5.97 1 2
5.98 8 2
6.00 4 6
6.02 7 9
6.03 0 2
6.05 4 1
6.07 1 0
6.08 0 13
6.10 3 0
6.12 1 2
6.13 3 4
6.15 2 0
6.17 2 2
6.18 1 1
6.20 2 1
6.22 4 3
6.23 3 1
6.25 0 8
6.27 5 6
6.28 4 6
6.30 1 4
6.32 1 2
6.33 1 7
6.35 2 2
6.37 4 2
6.38 3 1
6.40 0 0
6.42 1 9
6.43 0 2
6.45 1 3
6.47 4 7
6.48 1 2
6.50 7 2
6.52 2 1
6.53 1 2
6.55 2 2
6.57 2 2
6.58 2 11
6.60 2 1
6.62 2 1
6.63 2 1
6.65 1 2
6.67 0 4
6.68 1 1
6.70 3 1
6.72 0 4
6.73 1 1
6.75 3 0
6.77 1 2
6.78 1 1
6.80 3 5
6.82 5 0
6.83 1 4
6.85 1 2
6.87 11 1
6.88 2 1
6.90 1 4
6.92 0 2
6.93 1 2
6.95 1 2
6.97 2 1
6.98 0 1
7.00 3 2
7.02 2 2
7.03 1 2
7.05 5 2
7.07 2 5
7.08 0 0
7.10 1 5
7.12 2 1
7.13 2 1
7.15 2 1
7.17 1 4
7.18 5 2
7.20 0 1
7.22 1 4
7.23 3 3
7.25 1 2
7.27 0 6
7.28 0 3
7.30 0 1
7.32 1 6
7.33 2 4
7.35 2 2
7.37 2 1
7.38 1 5
7.40 1 1
7.42 2 2
7.43 4 0
7.45 2 1
