time left right
0.00 3 3
0.02 3 4
0.03 3 4
0.05 3 5
0.07 3 7
0.08 3 0
0.10 0 0
0.12 2 0
0.13 3 4
0.15 5 3
0.17 4 5
0.18 4 5
0.20 3 3
0.22 0 4
0.23 1 3
0.25 3 6
0.27 6 3
0.28 4 2
0.30 4 4
0.32 4 4
0.33 4 3
0.35 5 3
0.37 6 0
0.38 3 5
0.40 3 4
0.42 3 4
0.43 4 4
0.45 4 0
0.47 3 6
0.48 3 5
0.50 3 4
0.52 0 4
0.53 3 4
0.55 7 4
0.57 3 0
0.58 0 3
0.60 4 4
0.62 2 2
0.63 3 3
0.65 3 5
0.67 3 3
0.68 5 3
0.70 4 0
0.72 3 3
0.73 3 2
0.75 3 4
0.77 6 0
0.78 6 4
0.80 5 0
0.82 4 3
0.83 2 0
0.85 4 4
0.87 3 4
0.88 3 3
0.90 2 7
0.92 4 3
0.93 2 4
0.95 3 3
0.97 4 0
0.98 1 6
1.00 2 3
1.02 5 5
1.03 1 0
1.05 3 4
1.07 4 0
1.08 3 3
1.10 3 5
1.12 4 3
1.13 4 3
1.15 4 3
1.17 0 4
1.18 3 5
1.20 6 3
1.22 4 2
1.23 3 6
1.25 3 4
1.27 2 4
1.28 3 5
1.30 4 4
1.32 2 4
1.33 0 2
1.35 4 3
1.37 4 2
1.38 3 3
1.40 5 4
1.42 5 4
1.43 3 3
1.45 1 3
1.47 3 4
1.48 3 0
1.50 4 2
1.52 2 0
1.53 4 4
1.55 4 6
1.57 4 2
1.58 3 6
1.60 3 3
1.62 3 4
1.63 4 4
1.65 4 4
1.67 5 4
1.68 4 4
1.70 4 3
1.72 4 3
1.73 3 3
1.75 4 5
1.77 5 4
1.78 3 4
1.80 3 4
1.82 3 1
1.83 3 4
1.85 2 4
1.87 4 5
1.88 4 4
1.90 3 4
1.92 4 4
1.93 4 4
1.95 3 4
1.97 0 0
1.98 4 2
2.00 0 2
2.02 3 0
2.03 4 4
2.05 9 2
2.07 3 2
2.08 3 3
2.10 4 3
2.12 4 3
2.13 4 4
2.15 2 2
2.17 4 3
2.18 5 4
2.20 5 0
2.22 4 4
2.23 3 3
2.25 2 3
2.27 6 5
2.28 2 0
2.30 4 4
2.32 1 1
2.33 2 4
2.35 4 4
2.37 0 2
2.38 0 4
2.40 3 3
2.42 2 3
2.43 3 3
2.45 3 3
2.47 3 3
2.48 3 3
2.50 4 6
2.52 4 3
2.53 5 4
2.55 4 5
2.57 0 4
2.58 4 6
2.60 3 3
2.62 3 0
2.63 2 3
2.65 3 3
2.67 3 5
2.68 4 5
2.70 6 6
2.72 4 4
2.73 4 0
2.75 2 3
2.77 3 1
2.78 3 3
2.80 4 0
2.82 4 4
2.83 3 3
2.85 4 3
2.87 5 4
2.88 2 4
2.90 3 4
2.92 8 4
2.93 0 0
2.95 3 4
2.97 1 2
2.98 2 2
3.00 4 4
3.02 3 5
3.03 4 3
3.05 3 4
3.07 1 3
3.08 4 4
3.10 5 4
3.12 4 3
3.13 0 4
3.15 2 4
3.17 4 4
3.18 4 4
3.20 5 7
3.22 6 3
3.23 4 3
3.25 3 1
3.27 3 3
3.28 3 3
3.30 3 5
3.32 3 2
3.33 4 3
3.35 4 4
3.37 4 4
3.38 3 4
3.40 3 4
3.42 4 4
3.43 4 1
3.45 4 3
3.47 4 3
3.48 4 3
3.50 0 3
3.52 3 4
3.53 3 0
3.55 4 5
3.57 3 0
