time left right acc
0.00 3 -4 0
0.02 3 -4 0
0.03 3 -4 0
0.05 3 -4 0
0.07 3 -3 0
0.08 3 -3 0
0.10 3 -3 0
0.12 3 -3 0
0.13 3 -3 0
0.15 3 -3 0
0.17 3 -3 0
0.18 3 -3 0
0.20 3 -3 0
0.22 3 -3 0
0.23 3 -3 0
0.25 3 -3 0
0.27 3 -3 0
0.28 3 -3 0
0.30 3 -3 0
0.32 3 -3 0
0.33 3 -3 0
0.35 3 -3 0
0.37 3 -3 0
0.38 3 -3 0
0.40 3 -3 0
0.42 3 -3 0
0.43 3 -3 0
0.45 3 -3 0
0.47 3 -3 0
0.48 3 -3 0
0.50 3 -3 0
0.52 3 -3 0
0.53 3 -3 0
0.55 3 -3 0
0.57 3 -3 0
0.58 3 -3 0
0.60 3 -3 0
0.62 3 -3 0
0.63 3 -3 0
0.65 4 -3 0
0.67 4 -3 0
0.68 4 -2 0
0.70 3 -2 0
0.72 3 -2 0
0.73 4 -3 0
0.75 3 -3 0
0.77 3 -4 0
0.78 3 -4 0
0.80 3 -4 0
0.82 3 -4 0
0.83 3 -4 0
0.85 3 -4 0
0.87 3 -4 0
0.88 3 -4 0
0.90 3 -3 0
0.92 3 -3 0
0.93 3 -3 0
0.95 3 -4 0
0.97 3 -4 0
0.98 3 -4 0
1.00 3 -3 0
1.02 3 -4 0
1.03 3 -4 0
1.05 3 -4 0
1.07 2 -4 0
1.08 2 -4 0
1.10 2 -4 0
1.12 2 -4 0
1.13 2 -4 0
1.15 2 -4 0
1.17 2 -4 0
1.18 3 -4 0
1.20 3 -4 0
1.22 3 -3 0
1.23 3 -3 0
1.25 3 -3 0
1.27 3 -3 0
1.28 3 -4 0
1.30 2 -4 0
1.32 2 -4 0
1.33 2 -4 0
1.35 2 -4 0
1.37 2 -2 1
1.38 2 0 3
1.40 2 3 3
1.42 3 5 2
1.43 5 8 4
1.45 7 9 3
1.47 8 11 1
1.48 9 12 2
1.50 9 13 0
1.52 9 13 0
1.53 10 13 0
1.55 9 14 0
1.57 8 14 0
1.58 8 14 0
1.60 8 15 0
1.62 8 15 0
1.63 8 15 0
1.65 8 16 0
1.67 8 16 0
1.68 7 16 0
1.70 7 17 0
1.72 7 17 0
1.73 6 18 0
1.75 5 18 0
1.77 5 18 0
1.78 4 19 0
1.80 3 19 0
1.82 2 18 0
1.83 1 18 0
1.85 -1 17 4
1.87 -3 15 3
1.88 -3 14 1
1.90 -3 13 1
1.92 -2 13 1
1.93 0 13 1
1.95 0 14 0
1.97 0 15 0
1.98 1 15 0
2.00 1 14 0
2.02 1 13 0
2.03 1 12 1
2.05 0 10 2
2.07 0 7 2
2.08 0 5 2
2.10 0 2 3
2.12 -1 0 2
2.13 -1 -3 2
2.15 -2 -5 2
2.17 -2 -7 1
2.18 -1 -9 1
2.20 0 -9 0
2.22 0 -8 1
2.23 4 -3 7
2.25 10 4 13
2.27 19 17 21
2.28 33 36 31
2.30 61 60 50
2.32 95 89 63
2.33 132 123 70
2.35 172 158 75
2.37 212 195 75
2.38 251 231 74
2.40 288 267 71
2.42 314 295 54
2.43 333 317 40
2.45 347 334 29
2.47 355 344 17
2.48 360 351 10
2.50 363 355 6
2.52 363 356 0
2.53 363 356 0
2.55 364 356 0
2.57 364 357 0
2.58 365 357 1
2.60 365 358 0
2.62 365 358 0
