time left right
0 0 0
16 0 0
33 0 0
50 0 0
66 0 0
83 0 0
100 0 0
116 0 0
133 0 0
150 0 0
166 0 0
183 0 0
200 0 0
216 0 0
233 0 0
250 0 0
266 0 0
283 0 0
300 0 0
316 0 0
333 0 0
350 0 0
366 0 0
383 0 0
400 0 0
416 0 0
433 0 0
450 0 0
466 0 0
483 0 0
500 0 0
516 0 0
533 0 0
550 0 0
566 0 0
583 0 0
600 0 0
616 0 0
633 0 0
650 0 0
666 0 0
683 0 0
700 0 0
716 0 0
733 0 0
750 0 0
766 0 0
783 0 0
800 0 -1
816 0 -1
833 0 0
850 0 0
866 0 0
883 0 0
900 0 0
916 0 0
933 0 0
950 0 0
966 0 0
983 0 0
1000 0 0
1016 0 0
1033 0 0
1050 0 0
1066 0 0
1083 0 0
1100 0 0
1116 0 0
1133 0 0
1150 0 0
1166 0 0
1183 0 0
1200 0 0
1216 0 0
1233 0 0
1250 0 0
1266 0 0
1283 0 0
1300 0 0
1316 0 0
1333 0 0
1350 0 0
1366 0 0
1383 0 4
1400 0 7
1416 0 9
1433 2 11
1450 4 13
1466 5 15
1483 6 16
1500 6 16
1516 6 17
1533 6 17
1550 5 18
1566 5 18
1583 5 18
1600 4 18
1616 4 19
1633 4 19
1650 4 20
1666 4 20
1683 4 20
1700 4 21
1716 3 21
1733 2 22
1750 2 22
1766 1 22
1783 0 22
1800 0 22
1816 0 22
1833 -1 22
1850 -4 20
1866 -6 19
1883 -7 18
1900 -7 17
1916 -5 16
1933 -4 17
1950 -3 18
1966 -2 18
1983 -2 19
2000 -1 18
2016 -1 17
2033 -2 16
2050 -2 14
2066 -3 11
2083 -3 8
2100 -4 5
2116 -4 2
2133 -5 0
2150 -5 -2
2166 -5 -4
2183 -5 -5
2200 -4 -5
2216 -2 -4
2233 0 0
2250 6 8
2266 16 21
2283 30 40
2300 57 63
2316 91 93
2333 129 126
2350 169 162
2366 209 199
2383 248 235
2400 284 271
2416 311 299
2433 330 321
2450 343 337
2466 351 348
2483 356 355
2500 359 359
2516 360 359
2533 360 360
2550 360 360
2566 361 361
2583 362 361
2600 362 361
2616 362 361
2633 363 362
2650 363 362
2666 363 362
2683 363 362
2700 363 364
2716 363 363
2733 363 363
2750 363 363
2766 363 362
2783 363 362
2800 363 362
2816 363 361
2833 363 360
2850 364 360
2866 363 360
2883 363 359
2900 363 359
2916 362 359
2933 363 359
2950 363 359
2966 362 358
2983 363 358
3000 363 357
3016 362 357
3033 362 356
3050 362 356
3066 361 355
3083 361 355
3100 360 354
3116 360 354
3133 360 354
3150 359 353
3166 359 353
3183 359 353
3200 359 352
3216 358 352
3233 358 351
3250 358 349
3266 358 350
3283 358 350
3300 358 350
3316 357 351
3333 357 350
3350 357 351
3366 357 351
3383 356 351
3400 357 352
3416 356 352
3433 356 353
3450 355 353
3466 355 354
3483 355 354
3500 355 354
3516 355 354
3533 355 355
3550 354 355
3566 355 355
3583 354 356
3600 355 356
3616 355 357
3633 355 357
3650 355 357
3666 355 357
3683 355 358
3700 356 357
3716 356 357
3733 356 353
3750 356 352
3766 356 354
3783 356 354
3800 356 355
3816 356 355
3833 356 354
3850 356 356
3866 356 356
3883 356 356
3900 352 356
3916 352 356
3933 353 355
3950 353 355
3966 354 354
3983 354 355
4000 353 355
4016 355 355
4033 355 354
4050 354 354
4066 354 353
4083 354 353
4100 354 352
4116 354 352
4133 353 351
4150 353 351
4166 352 350
4183 352 350
4200 351 349
4216 351 349
4233 351 348
4250 351 348
4266 350 347
4283 351 352
4300 351 352
4316 350 351
4333 350 351
4350 349 349
4366 349 350
4383 350 350
4400 350 348
4416 350 348
4433 350 348
4450 349 348
4466 350 349
4483 350 349
4500 350 350
4516 349 350
4533 349 349
4550 349 350
4566 349 351
4583 348 351
4600 348 351
4616 348 351
4633 348 352
4650 348 353
4666 348 353
4683 348 353
4700 348 353
4716 348 353
4733 349 353
4750 349 353
4766 349 355
4783 349 354
4800 349 354
4816 349 354
4833 349 353
4850 349 353
4866 349 353
4883 349 352
4900 349 352
4916 350 352
4933 346 352
4950 346 351
4966 347 351
4983 347 351
5000 348 349
5016 347 350
5033 347 350
5050 349 349
5066 349 350
5083 349 349
5100 349 349
5116 348 349
5133 348 348
5150 347 347
5166 346 347
5183 346 346
5200 346 345
5216 345 345
5233 344 344
5250 343 344
5266 343 344
5283 342 343
5300 342 343
5316 342 342
5333 342 342
5350 341 343
5366 341 343
5383 341 343
5400 340 343
5416 340 343
5433 340 343
5450 340 343
5466 341 344
5483 341 344
5500 340 344
5516 340 345
5533 339 345
5550 339 345
5566 339 346
5583 338 346
5600 338 346
5616 338 347
5633 339 347
5650 338 347
5666 338 347
5683 339 347
5700 340 347
5716 339 347
5733 339 347
5750 339 347
5766 338 346
5783 334 344
5800 329 341
5816 319 339
5833 304 331
5850 284 319
5866 258 303
5883 226 280
5900 193 252
5916 160 219
5933 130 182
5950 104 149
5966 82 120
5983 62 94
6000 46 73
6016 34 56
6033 24 42
6050 18 32
6066 11 24
6083 5 17
6100 2 12
6116 0 8
6133 -2 4
6150 -4 1
6166 -5 0
6183 -5 -1
6200 -5 -3
6216 -4 -3
6233 -4 -4
6250 -3 -4
6266 -3 -4
6283 -2 -3
6300 -2 -3
6316 -1 -3
6333 -1 -2
6350 0 -2
6366 0 -1
6383 0 0
6400 0 0
6416 0 0
6433 0 0
6450 0 0
6466 -1 0
6483 -1 0
6500 -2 0
6516 -3 0
6533 -3 0
6550 -4 0
6566 -4 0
6583 -4 0
6600 -4 0
6616 -3 0
6633 -2 0
6650 -1 0
6666 -1 0
6683 -1 0
6700 -2 -2
6716 -4 -6
6733 -10 -15
6750 -22 -29
6766 -37 -48
6783 -57 -70
6800 -82 -96
6816 -114 -122
6833 -149 -150
6850 -176 -186
6866 -199 -215
6883 -231 -252
6900 -261 -288
6916 -287 -317
6933 -310 -346
6950 -327 -368
6966 -343 -383
6983 -358 -395
7000 -364 -401
7016 -368 -405
7033 -371 -407
7050 -375 -407
7066 -374 -407
7083 -373 -407
7100 -373 -407
7116 -372 -407
7133 -372 -406
7150 -372 -406
7166 -370 -405
7183 -370 -404
7200 -370 -402
7216 -370 -402
7233 -370 -402
7250 -370 -402
7266 -371 -401
7283 -371 -401
7300 -371 -401
7316 -371 -401
7333 -371 -401
7350 -371 -400
7366 -371 -400
7383 -371 -400
7400 -370 -400
7416 -370 -400
7433 -370 -400
7450 -370 -400
7466 -370 -400
7483 -369 -401
7500 -369 -402
7516 -368 -402
7533 -367 -402
7550 -368 -402
7566 -368 -402
7583 -368 -403
7600 -369 -404
7616 -370 -404
7633 -370 -405
7650 -371 -405
7666 -371 -407
7683 -371 -407
7700 -371 -407
7716 -372 -407
7733 -372 -406
7750 -372 -407
7766 -371 -407
7783 -371 -406
7800 -367 -406
7816 -366 -407
7833 -367 -407
7850 -365 -407
7866 -366 -406
7883 -366 -406
7900 -366 -406
7916 -369 -408
7933 -368 -407
7950 -368 -407
7966 -369 -406
7983 -368 -405
8000 -368 -405
8016 -368 -404
8033 -369 -402
8050 -368 -402
8066 -368 -401
8083 -367 -401
8100 -367 -400
8116 -366 -398
8133 -365 -398
8149 -365 -398
8166 -364 -398
8183 -364 -398
8200 -364 -397
8216 -363 -397
8233 -363 -397
8250 -363 -397
8266 -363 -397
8283 -363 -397
8300 -363 -396
8316 -363 -396
8333 -362 -396
8350 -363 -396
8366 -364 -396
8383 -364 -396
8400 -364 -397
8416 -364 -397
8433 -364 -397
8450 -364 -398
8466 -364 -398
8483 -364 -398
8500 -365 -399
8516 -365 -400
8533 -365 -401
8550 -365 -402
8566 -366 -401
8583 -366 -403
8600 -366 -403
8616 -366 -403
8633 -366 -403
8650 -366 -402
8666 -366 -403
8683 -366 -403
8700 -366 -403
8716 -366 -402
8733 -366 -403
8750 -365 -403
8766 -365 -403
8783 -365 -403
8800 -365 -403
8816 -364 -403
8833 -364 -400
8850 -363 -401
8866 -363 -400
8883 -364 -399
8900 -363 -399
8916 -363 -399
8933 -363 -398
8950 -363 -399
8966 -363 -398
8983 -362 -398
9000 -362 -397
9016 -362 -397
9033 -361 -396
9050 -362 -395
9066 -362 -395
9083 -361 -395
9100 -361 -394
9116 -360 -394
9133 -359 -393
9150 -359 -393
9166 -358 -393
9183 -358 -393
9200 -357 -393
9216 -357 -392
